Peak Time,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Azimuth Angle,Heavy Anion Azimuthal Deflection,Heavy Cation Azimuthal Deflection,Azimuthal Angle to Ram,Abs Azimuthal Angle to Ram,Deflection from Bulk,Bulk Deflection from Ram
14:53.0,3.006394603,0.934407903,94.03678441,89.99901445,92.04735565,t17,-0.683333333,els,negative,,1.989428758,,4.037769957,4.037769957,1.230232888,0.75919587
14:53.8,7.254768683,0.278640676,93.23984495,89.99903287,92.04735565,t17,-0.683333333,els,negative,,1.192489295,,3.24081208,3.24081208,0.433293425,0.75919587
14:53.9,13.63085364,0.597224942,93.16862085,89.99903506,92.04735565,t17,-0.683333333,els,negative,,1.121265203,,3.169585791,3.169585791,0.362069333,0.75919587
14:58.3,3.191525872,,88.72317147,89.9989582,,t17,-0.6875,ibs,negative,87.06236267,,1.660808802,-1.275786725,1.275786725,0.901612932,0.75919587
14:59.1,5.102326918,,87.9926017,89.99896378,,t17,-0.688333333,ibs,negative,87.06236267,,0.930239025,-2.006362088,2.006362088,0.171043155,0.75919587
14:59.1,9.161988557,,87.94613507,89.99896441,,t17,-0.688333333,ibs,negative,87.06236267,,0.883772396,-2.052829343,2.052829343,0.124576526,0.75919587
14:59.1,7.150138641,,87.92951541,89.99896464,,t17,-0.688333333,ibs,negative,87.06236267,,0.867152737,-2.069449234,2.069449234,0.107956867,0.75919587
14:59.3,11.37877564,,87.7809327,89.9989669,,t17,-0.688333333,ibs,negative,87.06236267,,0.718570025,-2.218034204,2.218034204,-0.040625845,0.75919587
14:59.5,13.27472457,,87.57370459,89.9989706,,t17,-0.688333333,ibs,negative,87.06236267,,0.511341916,-2.425266014,2.425266014,-0.247853954,0.75919587
14:59.6,15.50192752,,87.45948921,89.99897292,,t17,-0.688333333,ibs,negative,87.06236267,,0.397126537,-2.53948371,2.53948371,-0.362069333,0.75919587
15:48.8,14.00269423,0.802021522,90.84146233,89.99851569,91.04743195,t17,-0.69,els,positive,,-0.205969618,,0.842946634,0.842946634,0.456277862,-0.66224748
15:49.0,7.200085448,0.811020334,91.03063626,89.99851299,91.04743195,t17,-0.69,els,positive,,-0.016795682,,1.032123269,1.032123269,0.645451799,-0.66224748
15:49.9,3.012995767,0.83903055,91.90997466,89.99849935,91.04743195,t17,-0.69,els,positive,,0.862542717,,1.911475312,1.911475312,1.524790197,-0.66224748
15:49.9,3.237691868,,91.95688876,89.99849857,,t17,-0.69,ibs,positive,94.03742981,,-2.08054105,1.958390188,1.958390188,-1.41829357,-0.66224748
15:50.2,5.139377626,,92.22732453,89.99849398,,t17,-0.690416667,ibs,positive,94.03742981,,-1.810105281,2.228830546,2.228830546,-1.147857801,-0.66224748
15:50.4,7.191833107,,92.42984859,89.99849211,,t17,-0.690416667,ibs,positive,94.03742981,,-1.607581215,2.431356481,2.431356481,-0.945333734,-0.66224748
15:50.6,9.217003671,,92.6258506,89.99849126,,t17,-0.690416667,ibs,positive,94.03742981,,-1.411579209,2.627359346,2.627359346,-0.749331729,-0.66224748
15:50.8,11.41820317,,92.82850396,89.99849028,,t17,-0.690416667,ibs,positive,94.03742981,,-1.208925854,2.830013678,2.830013678,-0.546678374,-0.66224748
15:50.8,13.279758,,92.83711954,89.99849023,,t17,-0.690416667,ibs,positive,94.03742981,,-1.200310272,2.838629304,2.838629304,-0.538062791,-0.66224748
15:50.9,15.57760249,,92.91890447,89.99848981,,t17,-0.690416667,ibs,positive,94.03742981,,-1.118525342,2.920414655,2.920414655,-0.456277862,-0.66224748
16:34.9,3.085043812,0.726780153,95.10135693,89.99805094,93.03749084,t17,-0.7,els,negative,,2.063866087,,5.103305993,5.103305993,1.077034123,0.986831964
16:35.3,7.351741514,0.828431913,94.73886895,89.99804771,93.03749084,t17,-0.7,els,negative,,1.701378107,,4.740821244,4.740821244,0.714546143,0.986831964
16:36.0,13.94029826,0.514735521,94.05139995,89.99804132,93.03749084,t17,-0.7,els,negative,,1.013909101,,4.053358623,4.053358623,0.027077138,0.986831964
16:38.6,3.292345953,,91.44328763,89.99801571,,t17,-0.699375,ibs,negative,88.0625,,3.380787631,1.445271926,1.445271926,2.393955667,0.986831964
16:40.0,5.187598161,,90.01974867,89.99800441,,t17,-0.698125,ibs,negative,88.0625,,1.957248671,0.021744261,0.021744261,0.970416707,0.986831964
16:40.4,7.246870851,,89.68275373,89.99800162,,t17,-0.698125,ibs,negative,88.0625,,1.620253732,-0.315247886,0.315247886,0.633421768,0.986831964
16:40.7,9.312472144,,89.37152312,89.997999,,t17,-0.698125,ibs,negative,88.0625,,1.309023124,-0.626475877,0.626475877,0.32219116,0.986831964
16:40.9,13.39637323,,89.17322577,89.99799732,,t17,-0.698125,ibs,negative,88.0625,,1.110725766,-0.82477155,0.82477155,0.123893802,0.986831964
16:40.9,11.51790328,,89.14532902,89.99799708,,t17,-0.698125,ibs,negative,88.0625,,1.082829017,-0.85266806,0.85266806,0.095997053,0.986831964
16:41.0,15.77540882,,89.02225483,89.99799602,,t17,-0.6975,ibs,negative,88.0625,,0.959754826,-0.975741196,0.975741196,-0.027077138,0.986831964
17:31.8,13.72643512,0.444042909,90.89035725,89.99769427,92.04756927,t17,-0.6775,els,positive,,-1.157212023,,0.892662983,0.892662983,-0.633136375,-0.524075648
17:32.7,7.451668339,0.830732012,91.72883516,89.99769187,92.04756927,t17,-0.67875,els,positive,,-0.318734117,,1.73114329,1.73114329,0.205341531,-0.524075648
17:33.0,3.128053543,0.792136124,92.02214991,89.99768997,92.04756927,t17,-0.67875,els,positive,,-0.025419363,,2.024459938,2.024459938,0.498656285,-0.524075648
17:33.7,5.221017807,,92.71435884,89.99768608,,t17,-0.68,ibs,positive,93.04256821,,-0.328209371,2.716672752,2.716672752,0.195866277,-0.524075648
17:33.7,3.298122081,,92.71920062,89.99768606,,t17,-0.68,ibs,positive,93.04256821,,-0.323367584,2.721514564,2.721514564,0.200708065,-0.524075648
17:33.8,7.288707535,,92.81196533,89.9976856,,t17,-0.68,ibs,positive,93.04256821,,-0.230602875,2.814279731,2.814279731,0.293472773,-0.524075648
17:33.8,9.361411085,,92.89055127,89.99768522,,t17,-0.68,ibs,positive,93.04256821,,-0.152016941,2.892866042,2.892866042,0.372058707,-0.524075648
17:34.0,11.57057657,,93.00479515,89.99768469,,t17,-0.68,ibs,positive,93.04256821,,-0.037773058,3.007110454,3.007110454,0.48630259,-0.524075648
17:34.0,13.4921335,,93.06805698,89.99768441,,t17,-0.68125,ibs,positive,93.04256821,,0.025488772,3.070372568,3.070372568,0.549564421,-0.524075648
17:34.1,15.86212505,,93.15162893,89.99768405,,t17,-0.68125,ibs,positive,93.04256821,,0.109060727,3.153944886,3.153944886,0.633136375,-0.524075648
18:17.6,2.957194836,0.50546402,95.42200375,89.99770594,94.03762817,t17,-0.705,els,negative,,1.384375575,,5.424297808,5.424297808,1.092337244,0.29203833
18:17.9,7.322115428,0.240005493,95.15193411,89.99770735,94.03762817,t17,-0.705,els,negative,,1.114305932,,5.154226754,5.154226754,0.822267602,0.29203833
18:18.5,13.55419103,0.346980532,94.54397424,89.99771137,94.03762817,t17,-0.70375,els,negative,,0.506346063,,4.546262864,4.546262864,0.214307733,0.29203833
18:22.5,3.220946837,,90.56691375,89.99772591,,t17,-0.69875,ibs,negative,89.05763626,,1.509277492,0.56918784,0.56918784,1.217239162,0.29203833
18:23.1,5.167728979,,89.93094302,89.99772782,,t17,-0.6975,ibs,negative,89.05763626,,0.873306758,-0.066784802,0.066784802,0.581268427,0.29203833
18:23.4,7.210457245,,89.60979609,89.99772929,,t17,-0.6975,ibs,negative,89.05763626,,0.552159826,-0.3879332,0.3879332,0.260121495,0.29203833
18:23.6,9.241798784,,89.47315773,89.99773001,,t17,-0.6975,ibs,negative,89.05763626,,0.415521467,-0.524572286,0.524572286,0.123483137,0.29203833
18:23.7,11.4590146,,89.34828814,89.99773073,,t17,-0.6975,ibs,negative,89.05763626,,0.290651882,-0.649442589,0.649442589,-0.001386449,0.29203833
18:23.8,13.34109912,,89.22678764,89.99773148,,t17,-0.6975,ibs,negative,89.05763626,,0.169151376,-0.770943843,0.770943843,-0.122886954,0.29203833
18:23.9,15.63371278,,89.13536686,89.99773208,,t17,-0.6975,ibs,negative,89.05763626,,0.077730598,-0.862365217,0.862365217,-0.214307733,0.29203833
19:14.5,3.223366151,,91.56118237,89.99808185,,t17,-0.709166667,ibs,positive,94.53770447,,-2.976522096,1.563100521,1.563100521,-2.467979148,-0.508542949
19:15.0,7.09310689,-0.114416157,92.07715405,89.9980799,92.04769897,t17,-0.708333333,els,positive,,0.029455071,,2.079074147,2.079074147,0.537998019,-0.508542949
19:15.1,13.42405415,-0.383612887,92.12037707,89.99807979,92.04769897,t17,-0.708333333,els,positive,,0.072678093,,2.122297277,2.122297277,0.581221042,-0.508542949
19:15.2,5.171666713,,92.2314601,89.99807955,,t17,-0.708333333,ibs,positive,94.53770447,,-2.306244368,2.233380548,2.233380548,-1.797701419,-0.508542949
19:15.6,2.990266468,0.095386036,92.68437938,89.99807917,92.04769897,t17,-0.708333333,els,positive,,0.636680402,,2.68630021,2.68630021,1.14522335,-0.508542949
19:15.8,7.228510485,,92.87303972,89.99807928,,t17,-0.708333333,ibs,positive,94.53770447,,-1.664664751,2.874960433,2.874960433,-1.156121803,-0.508542949
19:16.1,9.233991103,,93.16992569,89.9980798,,t17,-0.7075,ibs,positive,94.53770447,,-1.36777878,3.171845888,3.171845888,-0.859235831,-0.508542949
19:16.3,11.42237631,,93.35178947,89.99808032,,t17,-0.7075,ibs,positive,94.53770447,,-1.185914997,3.353709155,3.353709155,-0.677372049,-0.508542949
